id,show_id,user_id,rating,date
0,s3604,221,4.5,2020-10-01
1,s5780,355,8.4,2018-11-01
2,s4548,126,6.3,2020-08-01
3,s909,341,7.6,2018-07-01
4,s8508,361,8.5,2019-01-01
5,s3414,129,6.8,2023-04-01
6,s382,87,3.5,2021-10-01
7,s8690,446,3.0,2020-02-01
8,s1084,74,9.5,2021-11-01
9,s7146,344,8.2,2021-04-01
10,s7033,285,5.4,2019-06-01
11,s3045,104,8.4,2020-12-01
12,s3354,479,6.4,2019-11-01
13,s6022,374,6.1,2021-10-01
14,s5579,114,4.6,2018-08-01
15,s1695,327,8.4,2021-05-01
16,s5569,300,6.2,2022-04-01
17,s7780,450,2.4,2020-11-01
18,s5989,140,7.2,2021-10-01
19,s3521,68,7.1,2018-10-01
20,s3085,37,9.2,2018-03-01
21,s4920,351,8.4,2020-04-01
22,s5923,128,4.7,2019-10-01
23,s2597,482,9.8,2022-09-01
24,s2065,221,6.0,2018-10-01
25,s6792,232,4.4,2020-01-01
26,s8722,63,3.7,2021-08-01
27,s5939,39,8.1,2020-11-01
28,s4158,341,6.5,2023-12-01
29,s4969,176,8.5,2022-06-01
30,s8552,248,6.8,2018-05-01
31,s4512,190,6.0,2021-10-01
32,s3918,87,8.9,2019-01-01
33,s2166,44,5.3,2018-02-01
34,s1539,411,9.2,2023-04-01
35,s3190,212,7.1,2021-02-01
36,s6561,254,2.8,2022-01-01
37,s7240,148,4.8,2019-12-01
38,s3966,283,9.5,2020-10-01
39,s4352,251,7.4,2021-07-01
40,s7906,16,1.4,2020-06-01
41,s625,109,9.8,2023-04-01
42,s3436,368,5.5,2019-10-01
43,s5520,25,6.3,2022-01-01
44,s3162,195,6.4,2018-12-01
45,s8542,114,9.7,2019-07-01
46,s2192,370,5.6,2023-08-01
47,s5335,223,3.6,2019-07-01
48,s782,423,2.7,2021-09-01
49,s4681,305,8.2,2022-02-01
50,s3236,328,5.1,2020-09-01
51,s3374,291,9.1,2018-04-01
52,s6448,183,5.5,2023-02-01
53,s1129,500,7.5,2021-08-01
54,s679,303,1.0,2019-03-01
55,s7462,64,6.9,2020-07-01
56,s7736,381,9.2,2023-09-01
57,s1744,437,1.4,2020-01-01
58,s1885,423,4.8,2019-04-01
59,s5080,135,5.0,2021-08-01
60,s6426,45,6.4,2022-07-01
61,s5987,382,8.1,2021-04-01
62,s7170,222,10.0,2023-03-01
63,s6998,81,9.6,2020-11-01
64,s4626,26,9.5,2022-09-01
65,s879,178,3.4,2019-04-01
66,s1763,406,1.6,2019-11-01
67,s6767,258,3.8,2021-06-01
68,s4529,64,9.4,2022-08-01
69,s1376,154,8.9,2022-11-01
70,s8251,150,3.0,2022-12-01
71,s4729,253,2.9,2019-01-01
72,s4244,17,7.9,2019-04-01
73,s1877,50,2.6,2019-10-01
74,s5536,309,8.5,2018-10-01
75,s1517,467,4.3,2020-06-01
76,s8295,323,8.0,2019-09-01
77,s469,473,8.2,2019-08-01
78,s1634,258,2.7,2020-11-01
79,s7946,320,2.4,2021-09-01
80,s4283,25,8.4,2018-11-01
81,s7577,282,4.3,2020-07-01
82,s2354,66,6.8,2018-01-01
83,s5056,495,2.7,2021-04-01
84,s7340,276,7.8,2023-04-01
