id,id_pelicula,id_usuario,puntuacion,fecha
,s4704,258,3.0,2020-02-01
,s8089,962,8.3,2018-08-01
,s7944,436,9.4,2023-10-01
,s2430,640,8.3,2022-11-01
,s3953,678,5.2,2020-04-01
,s2040,417,9.0,2022-06-01
,s3124,915,5.7,2023-08-01
,s974,6,6.6,2021-08-01
,s6778,885,7.3,2023-07-01
,s6011,24,6.2,2020-02-01
,s866,732,7.7,2023-03-01
,s2517,719,7.1,2021-03-01
,s1442,194,6.3,2021-04-01
,s3799,253,4.3,2022-07-01
,s1992,513,8.6,2020-10-01
,s2576,96,8.8,2021-04-01
,s1664,989,5.0,2019-10-01
,s6616,407,8.0,2023-10-01
,s6414,887,7.6,2019-05-01
,s7421,112,3.0,2022-07-01
,s3341,535,6.6,2018-12-01
,s482,842,2.8,2022-05-01
,s5746,733,7.0,2020-05-01
,s5346,671,6.4,2018-02-01
,s5657,802,4.7,2020-04-01
,s7490,414,2.3,2021-03-01
,s6806,443,3.1,2019-01-01
,s5152,75,1.1,2022-10-01
,s7957,120,1.2,2021-02-01
,s7811,93,2.8,2018-04-01
,s731,714,7.4,2021-07-01
,s7805,702,3.1,2019-03-01
,s7675,1,6.6,2020-03-01
,s6689,906,6.1,2019-03-01
,s6191,783,5.5,2022-08-01
,s7155,225,8.6,2023-05-01
,s4299,558,7.9,2022-09-01
,s4233,157,4.9,2020-04-01
,s4006,741,1.2,2023-11-01
,s1146,122,3.6,2021-11-01
,s2580,650,6.9,2021-02-01
,s8618,815,7.2,2022-06-01
,s4000,310,4.5,2020-07-01
,s3414,432,5.8,2018-08-01
,s3504,637,1.6,2018-03-01
,s157,767,7.7,2022-03-01
,s1417,58,7.1,2021-11-01
,s1678,904,2.2,2018-09-01
,s5720,167,9.1,2021-04-01
,s2319,202,7.5,2022-05-01
,s5520,28,8.1,2020-03-01
,s6885,110,9.1,2018-11-01
,s1026,140,6.5,2023-09-01
,s8258,143,5.5,2023-03-01
,s5189,432,6.1,2023-03-01
,s8287,998,4.5,2019-02-01
,s3814,313,3.4,2023-06-01
,s2319,764,3.0,2021-01-01
,s4193,886,3.1,2021-06-01
,s6582,277,6.0,2021-02-01
,s6506,531,3.5,2023-12-01
,s532,610,8.7,2018-07-01
,s4057,165,4.0,2023-10-01
,s8583,582,5.3,2019-03-01
,s109,809,6.3,2019-06-01
,s3874,384,9.5,2018-10-01
,s5293,82,1.5,2019-08-01
,s5448,167,1.8,2019-08-01
,s498,896,9.4,2021-04-01
,s6986,307,7.7,2019-10-01
,s6984,987,1.4,2018-09-01
,s3490,116,9.0,2020-02-01
,s1480,192,2.3,2021-05-01
,s1956,102,9.3,2020-05-01
,s1782,257,1.5,2018-01-01
,s3048,848,3.2,2023-11-01
,s4817,651,4.2,2021-10-01
,s8723,83,3.3,2018-10-01
,s8156,334,5.7,2022-02-01
,s6131,793,8.9,2021-08-01
,s6796,840,9.1,2018-07-01
,s2327,705,2.5,2018-12-01
,s5681,29,9.3,2023-02-01
,s5562,389,7.1,2018-10-01
,s6805,498,7.4,2020-08-01
,s71,195,9.5,2023-07-01
,s2959,506,4.1,2021-04-01
,s1770,723,3.3,2021-08-01
,s6164,459,9.5,2022-11-01
,s2843,932,8.2,2019-09-01
,s6367,860,1.3,2021-03-01
,s202,850,5.3,2022-07-01
,s352,356,9.4,2019-08-01
,s7083,881,3.2,2022-10-01
,s4721,762,6.0,2020-05-01
,s1158,206,5.8,2023-07-01
,s1426,847,2.1,2022-09-01
,s1795,727,3.4,2019-10-01
,s1474,296,9.0,2021-04-01
,s2234,512,1.9,2018-06-01
,s7306,89,1.9,2018-04-01
,s1289,822,5.1,2023-06-01
,s7552,387,9.0,2018-08-01
,s6538,274,6.8,2021-10-01
,s6065,877,1.0,2018-08-01
,s1068,387,3.0,2018-06-01
,s4897,946,9.4,2022-02-01
,s1317,69,4.3,2021-03-01
,s3762,457,2.5,2023-04-01
,s3259,473,7.9,2020-08-01
,s4997,223,3.8,2021-07-01
,s5635,327,1.6,2020-12-01
,s5035,705,8.0,2020-09-01
,s3510,875,1.9,2019-04-01
,s1462,733,4.6,2022-10-01
,s4325,426,7.5,2021-11-01
,s6229,990,1.7,2021-04-01
,s2694,865,8.4,2018-03-01
,s6276,190,5.7,2020-07-01
,s5789,288,5.1,2019-06-01
,s3277,978,2.5,2022-06-01
,s5582,395,4.8,2022-12-01
,s6399,788,7.1,2022-07-01
,s2362,701,6.7,2023-09-01
,s815,39,2.5,2020-08-01
,s639,934,8.3,2020-04-01
,s7565,999,2.4,2021-11-01
,s749,979,8.3,2023-08-01
,s5925,536,4.6,2022-09-01
,s8099,221,3.4,2020-01-01
,s7694,284,7.9,2023-11-01
,s442,909,9.8,2019-06-01
,s4751,857,1.9,2021-03-01
,s5147,768,8.0,2020-04-01
,s5928,454,8.2,2022-03-01
,s4756,71,6.7,2018-03-01
,s1425,792,9.8,2020-05-01
,s4446,691,6.0,2022-05-01
,s463,967,1.5,2020-03-01
,s1096,514,6.9,2020-02-01
,s5651,574,9.0,2021-11-01
,s5029,337,6.2,2020-07-01
,s2062,816,2.8,2022-09-01
,s2691,467,6.9,2018-09-01
,s4826,488,3.6,2022-11-01
,s2843,648,2.1,2022-02-01
,s3471,333,8.9,2018-12-01
,s1818,199,4.8,2023-05-01
,s7054,348,1.0,2021-01-01
,s4411,314,9.1,2021-01-01
,s207,883,7.9,2021-08-01
,s6904,380,2.8,2023-11-01
,s4877,78,8.5,2021-02-01
,s8375,589,4.4,2019-03-01
,s8615,155,2.5,2021-05-01
,s8471,949,3.6,2019-11-01
,s3099,818,9.1,2020-09-01
,s3777,333,1.8,2022-07-01
,s3246,926,9.3,2020-04-01
,s514,553,1.5,2023-07-01
,s5541,164,7.5,2019-01-01
,s6458,453,7.1,2023-10-01
,s3457,521,2.2,2023-12-01
,s3908,46,5.8,2018-01-01
,s2357,817,3.5,2023-02-01
,s4458,173,2.1,2022-03-01
,s6893,13,1.0,2018-10-01
,s1602,159,9.1,2021-08-01
,s5270,839,2.7,2020-07-01
,s1576,712,1.2,2019-12-01
,s4959,957,1.9,2021-07-01
,s3754,115,2.7,2022-11-01
,s883,429,2.5,2020-04-01
,s2356,49,7.5,2023-06-01
,s5723,562,1.2,2018-07-01
,s8233,969,6.1,2022-09-01
,s2964,339,5.4,2020-09-01
,s7140,576,3.7,2019-02-01
,s8116,317,3.4,2022-07-01
,s6538,905,4.6,2019-06-01
,s6282,62,9.2,2020-03-01
,s4167,482,6.2,2020-09-01
,s7738,271,5.6,2018-05-01
,s6252,116,3.9,2019-05-01
,s8201,541,8.5,2018-11-01
,s7954,987,3.2,2018-06-01
,s500,884,3.1,2018-08-01
,s6229,551,6.5,2022-12-01
,s3257,220,3.1,2022-09-01
,s5600,461,4.9,2019-04-01
,s5607,212,3.9,2021-09-01
,s6541,116,4.8,2023-10-01
,s6711,296,8.8,2020-06-01
,s4447,999,2.3,2020-05-01
,s4649,535,1.8,2021-03-01
,s1057,854,8.4,2019-04-01
,s6523,603,8.2,2022-03-01
,s6392,233,7.2,2023-11-01
,s2581,702,9.6,2022-09-01
,s438,391,1.7,2018-04-01
,s424,985,9.5,2023-05-01
,s8789,141,7.0,2019-05-01
,s443,681,6.8,2018-01-01
,s3608,195,2.4,2018-02-01
,s3165,654,9.6,2023-03-01
,s4882,779,6.1,2019-11-01
,s6714,551,2.3,2023-08-01
,s5759,330,8.1,2020-04-01
,s730,963,9.7,2022-06-01
,s5522,957,9.0,2021-10-01
,s5591,636,5.9,2020-11-01
,s7201,163,8.0,2020-07-01
,s2402,581,9.6,2022-08-01
,s8531,937,6.2,2022-08-01
,s1638,174,4.2,2022-07-01
,s6604,468,4.8,2023-06-01
,s842,783,6.2,2020-06-01
,s8752,515,2.3,2019-05-01
,s4136,137,7.5,2018-12-01
,s4311,345,5.2,2018-02-01
,s5538,916,5.8,2019-08-01
,s2546,277,9.3,2020-03-01
,s7708,746,6.2,2019-07-01
,s4778,893,1.2,2023-11-01
,s8751,542,4.9,2018-08-01
,s775,866,9.9,2020-09-01
,s2884,449,7.7,2018-04-01
,s4397,111,2.3,2023-04-01
,s5350,579,9.3,2022-04-01
,s1900,586,6.6,2020-06-01
,s2052,613,4.2,2023-01-01
,s608,122,8.9,2019-03-01
,s6260,304,5.8,2023-01-01
,s7628,892,1.1,2018-01-01
,s2350,149,4.8,2021-03-01
,s7655,338,8.3,2020-02-01
,s579,253,1.0,2021-08-01
,s6189,80,2.3,2018-04-01
,s418,536,8.2,2018-11-01
,s8545,139,3.7,2020-12-01
,s3369,106,6.5,2022-06-01
,s939,959,4.9,2023-08-01
,s5,600,4.7,2019-01-01
,s294,155,8.2,2020-08-01
,s4472,186,5.5,2018-08-01
,s952,231,3.8,2021-10-01
,s4640,307,1.1,2023-12-01
,s2810,543,5.3,2022-06-01
,s6906,318,1.0,2020-04-01
,s760,649,1.0,2018-03-01
,s3763,269,1.4,2022-02-01
,s8325,146,5.3,2023-05-01
,s8766,912,9.7,2018-10-01
,s56,779,5.9,2020-01-01
,s3818,788,4.1,2018-03-01
,s2160,499,7.1,2023-02-01
,s2043,52,2.5,2018-10-01
,s4747,506,4.6,2023-05-01
,s7726,384,4.6,2022-11-01
,s42,121,1.3,2021-06-01
,s6729,941,4.5,2018-02-01
,s2837,38,8.9,2023-10-01
,s5192,707,8.8,2018-03-01
,s1496,873,10.0,2023-11-01
,s6822,487,3.9,2019-12-01
,s3835,77,8.8,2022-09-01
,s729,134,3.5,2020-02-01
,s581,322,8.3,2021-08-01
,s6532,262,7.8,2018-11-01
,s3940,541,5.1,2019-11-01
,s831,522,6.7,2022-02-01
,s2192,982,1.8,2020-07-01
,s6537,450,8.1,2020-03-01
,s3346,19,3.6,2022-11-01
,s4515,857,7.6,2018-06-01
,s8064,63,7.9,2021-02-01
,s7314,931,3.2,2018-08-01
,s3424,870,4.4,2019-09-01
,s1232,530,4.4,2020-03-01
,s5067,625,9.1,2018-07-01
,s4733,743,1.4,2023-10-01
,s1640,392,2.4,2020-03-01
,s5528,794,4.9,2019-07-01
,s7575,774,5.3,2023-01-01
,s6347,106,7.3,2021-07-01
,s2582,67,8.2,2018-10-01
,s6567,756,5.5,2020-11-01
,s2179,806,7.4,2018-09-01
,s6205,742,1.3,2019-04-01
,s1469,196,5.0,2021-08-01
,s2295,477,2.2,2020-04-01
,s7004,867,8.2,2019-11-01
