@relation wekadata

@attribute id numeric
@attribute name numeric
@attribute login_date numeric
@attribute country numeric
@attribute num_visualizaciones numeric
@attribute media_valoraciones numeric

@data
1,User 1,2023-04-18 16:40:06.762095,Germany,50,5.204000000000001
2,User 2,2023-04-11 16:40:06.762095,Spain,45,5.286666666666667
3,User 3,2023-04-19 16:40:06.762095,USA,41,5.819512195121953
4,User 4,2023-04-17 16:40:06.762095,USA,61,5.70327868852459
5,User 5,2023-04-11 16:40:06.762095,France,59,5.864406779661016
6,User 6,2023-04-18 16:40:06.762095,Japan,63,6.088888888888889
7,User 7,2023-03-27 16:40:06.762095,France,44,5.481818181818181
8,User 8,2023-03-29 16:40:06.762095,USA,55,5.18
9,User 9,2023-04-21 16:40:06.762095,Spain,48,5.829166666666666
10,User 10,2023-04-06 16:40:06.762095,Germany,49,5.4326530612244905
11,User 11,2023-04-08 16:40:06.762095,Germany,50,6.007999999999999
12,User 12,2023-04-16 16:40:06.762095,Spain,53,5.871698113207548
13,User 13,2023-04-13 16:40:06.762095,Spain,39,5.6
14,User 14,2023-04-10 16:40:06.762095,Japan,61,5.50327868852459
15,User 15,2023-04-19 16:40:06.762095,Spain,53,4.801886792452829
16,User 16,2023-04-23 16:40:06.762095,Germany,44,5.027272727272728
17,User 17,2023-03-30 16:40:06.762095,USA,55,5.896363636363636
18,User 18,2023-04-19 16:40:06.762095,Germany,49,5.0673469387755095
19,User 19,2023-04-08 16:40:06.762095,France,64,5.514062499999999
20,User 20,2023-04-06 16:40:06.762095,Japan,52,6.019230769230772
21,User 21,2023-04-14 16:40:06.762095,Japan,50,5.400000000000001
22,User 22,2023-04-19 16:40:06.762095,Japan,45,5.471111111111111
23,User 23,2023-04-08 16:40:06.762095,USA,46,5.7
24,User 24,2023-03-28 16:40:06.762095,Germany,36,5.222222222222222
25,User 25,2023-04-16 16:40:06.762095,Japan,47,5.887234042553192
26,User 26,2023-04-09 16:40:06.762095,USA,39,4.938461538461539
